width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
2.35,3.04,4724.0,1.35,526.0,1.48,1.92,1.35,90.5,484.0,61.5, 109.946
2.9,4.2,1854.0,2.0,475.0,1.8,1.52,1.25,45.5,322.25,21.5, 55.602
2.9,4.2,1854.0,2.0,475.0,1.8,1.52,0.85,26.0,592.25,55.5, 66.603
2.9,4.2,1854.0,2.0,475.0,1.8,1.52,0.95,12.0,116.25,68.5, -200.257
2.9,4.2,1854.0,2.0,475.0,1.8,1.52,0.5,84.75,458.25,34.5, 58.164
4.15,3.06,4781.0,2.75,469.0,1.44,0.48,1.1,33.25,426.75,13.5, 102.754
4.15,3.06,4781.0,2.75,469.0,1.44,0.48,0.7,10.0,90.0,28.5, 98.920
4.15,3.06,4781.0,2.75,469.0,1.44,0.48,0.55,55.0,315.75,48.0, 123.131
4.15,3.06,4781.0,2.75,469.0,1.44,0.48,1.3,74.5,540.0,64.0, 149.178
3.95,4.74,4137.0,4.15,406.0,1.78,1.1,1.1,15.75,281.0,33.5, 83.031
3.95,4.74,4137.0,4.15,406.0,1.78,1.1,0.5,44.25,547.25,54.0, 91.593
3.95,4.74,4137.0,4.15,406.0,1.78,1.1,1.3,59.75,345.75,23.5, 77.350
3.95,4.74,4137.0,4.15,406.0,1.78,1.1,0.75,24.0,190.25,67.0, -505.960
3.0,2.62,4050.0,3.4,520.0,1.76,0.42,0.75,36.75,447.0,21.0, 101.026
3.0,2.62,4050.0,3.4,520.0,1.76,0.42,0.6,44.0,227.25,53.0, 113.292
3.0,2.62,4050.0,3.4,520.0,1.76,0.42,1.1,27.75,202.25,70.5, 117.042
3.0,2.62,4050.0,3.4,520.0,1.76,0.42,1.3,16.0,478.75,30.0, 103.915
1.1,3.76,1729.0,2.9,322.0,0.96,1.34,0.4,20.25,351.0,33.5, 57.680
1.1,3.76,1729.0,2.9,322.0,0.96,1.34,0.75,39.0,210.25,68.0, 69.239
